iter	Passed	Remaining
402	21507	31861
403	21553	31796
404	21602	31736
405	21648	31672
406	21695	31609
407	21741	31546
408	21789	31486
409	21835	31421
410	21885	31363
411	21935	31306
412	21985	31248
413	22032	31186
414	22079	31124
415	22124	31059
416	22168	30993
417	22215	30931
418	22266	30874
419	22312	30811
420	22377	30775
421	22428	30720
422	22477	30661
423	22523	30597
424	22570	30537
425	22615	30472
426	22663	30412
427	22709	30349
428	22757	30289
429	22801	30225
430	22847	30163
431	22897	30106
432	22940	30039
433	22988	29980
434	23044	29931
435	23103	29886
436	23149	29824
437	23196	29764
438	23246	29706
439	23293	29646
440	23338	29582
441	23385	29522
442	23437	29468
443	23485	29410
444	23531	29348
445	23578	29287
446	23625	29227
447	23675	29171
448	23726	29116
449	23772	29055
450	23820	28996
451	23868	28937
452	23916	28879
453	23965	28822
454	24015	28765
455	24059	28702
456	24109	28646
457	24156	28586
458	24200	28523
459	24249	28466
460	24293	28404
461	24345	28350
462	24381	28278
463	24421	28210
464	24472	28156
465	24515	28092
466	24559	28029
467	24604	27969
468	24661	27921
469	24710	27864
470	24756	27804
471	24802	27744
472	24849	27686
473	24899	27631
474	24949	27575
475	24998	27519
476	25046	27462
477	25096	27406
478	25139	27344
479	25190	27289
480	25237	27231
481	25287	27176
482	25338	27122
483	25390	27068
484	25436	27009
485	25491	26960
486	25541	26904
487	25592	26851
488	25645	26798
489	25704	26753
490	25763	26707
491	25820	26660
492	25870	26605
493	25928	26557
494	25981	26506
495	26048	26468
496	26102	26418
497	26155	26365
498	26204	26309
499	26258	26258
500	26310	26205
501	26368	26158
502	26417	26102
503	26465	26045
504	26514	25989
505	26564	25934
506	26616	25881
507	26668	25828
508	26718	25773
509	26778	25728
510	26831	25676
511	26876	25616
512	26926	25561
513	26969	25500
514	27024	25450
515	27077	25398
516	27130	25345
517	27181	25292
518	27233	25239
519	27282	25183
520	27328	25125
521	27378	25070
522	27427	25014
523	27477	24960
524	27521	24900
525	27570	24844
526	27618	24788
527	27689	24752
528	27730	24690
529	27780	24635
530	27825	24576
531	27874	24521
532	27922	24464
533	27970	24408
534	28021	24354
535	28065	24295
536	28124	24248
537	28171	24192
538	28216	24133
539	28262	24075
540	28309	24018
541	28355	23960
542	28403	23904
543	28442	23841
544	28495	23790
545	28544	23734
546	28590	23677
547	28637	23620
548	28685	23564
549	28732	23508
550	28780	23452
551	28827	23396
552	28869	23336
553	28917	23280
554	28959	23220
555	29007	23164
556	29069	23120
557	29110	23059
558	29158	23003
559	29204	22946
560	29251	22890
561	29297	22833
562	29340	22773
563	29385	22716
564	29442	22668
565	29487	22610
566	29531	22552
567	29584	22501
568	29635	22448
569	29685	22394
570	29738	22342
571	29787	22288
572	29830	22229
573	29877	22174
574	29926	22119
575	29975	22065
576	30021	22008
577	30073	21956
578	30117	21899
579	30170	21847
580	30219	21793
581	30265	21737
582	30313	21682
583	30362	21627
584	30413	21575
585	30457	21517
586	30506	21463
587	30555	21409
588	30599	21352
589	30653	21301
590	30701	21247
591	30748	21191
592	30790	21132
593	30838	21078
594	30883	21021
595	31032	21035
596	31163	21036
597	31210	20980
598	31264	20930
599	31312	20874
600	31364	20822
601	31413	20768
602	31462	20714
603	31507	20657
604	31556	20603
605	31604	20547
606	31656	20495
607	31703	20440
608	31752	20386
609	31800	20331
610	31848	20276
611	31897	20222
612	31943	20166
613	31992	20112
614	32037	20056
615	32097	20009
616	32150	19957
617	32199	19903
618	32243	19845
619	32293	19792
620	32337	19735
621	32385	19680
622	32428	19623
623	32472	19566
624	32534	19520
625	32582	19465
626	32631	19412
627	32675	19355
628	32724	19301
629	32770	19246
630	32817	19191
631	32866	19137
632	32911	19081
633	32956	19025
634	33021	18981
635	33067	18925
636	33116	18871
637	33175	18823
638	33220	18767
639	33269	18713
640	33314	18657
641	33362	18604
642	33409	18549
643	33457	18495
644	33502	18439
645	33548	18384
646	33598	18331
647	33645	18276
648	33695	18223
649	33741	18168
650	33790	18114
651	33836	18060
652	33882	18005
653	33930	17950
654	33978	17897
655	34026	17843
656	34077	17790
657	34124	17736
658	34170	17681
659	34222	17629
660	34268	17574
661	34314	17519
662	34355	17462
663	34405	17409
664	34458	17358
665	34506	17304
666	34559	17253
667	34607	17199
668	34657	17147
669	34706	17094
670	34753	17040
671	34794	16982
672	34843	16930
673	34893	16877
674	34945	16825
675	34989	16770
676	35041	16718
677	35087	16663
678	35153	16619
679	35201	16565
680	35250	16512
681	35299	16459
682	35349	16406
683	35389	16349
684	35434	16294
685	35486	16242
686	35532	16188
687	35584	16137
688	35633	16084
689	35681	16030
690	35730	15977
691	35776	15923
692	35821	15869
693	35873	15817
694	35917	15762
695	35963	15708
696	36011	15654
697	36062	15603
698	36114	15551
699	36161	15497
700	36210	15445
701	36256	15391
702	36308	15339
703	36353	15285
704	36405	15233
705	36486	15193
706	36556	15149
707	36647	15114
708	36736	15078
709	36795	15029
710	36872	14987
711	36920	14934
712	36969	14881
713	37018	14828
714	37072	14777
715	37116	14722
716	37164	14668
717	37211	14615
718	37260	14562
719	37305	14507
720	37352	14453
721	37400	14400
722	37452	14348
723	37502	14296
724	37550	14243
725	37603	14192
726	37645	14136
727	37698	14085
728	37740	14029
729	37797	13979
730	37843	13926
731	37891	13872
732	37935	13818
733	37984	13765
734	38030	13711
735	38073	13656
736	38124	13604
737	38193	13559
738	38237	13504
739	38294	13454
740	38346	13403
741	38393	13349
742	38443	13297
743	38490	13243
744	38540	13191
745	38584	13137
746	38633	13084
747	38680	13031
748	38728	12978
749	38773	12924
750	38822	12872
751	38875	12820
752	38923	12767
753	38975	12716
754	39024	12663
755	39071	12610
756	39122	12558
757	39173	12506
758	39223	12454
759	39277	12403
760	39320	12349
761	39363	12294
762	39417	12243
763	39473	12193
764	39520	12140
765	39574	12089
766	39629	12038
767	39680	11986
768	39738	11937
769	39786	11884
770	39841	11833
771	39888	11780
772	39939	11728
773	39985	11675
774	40031	11622
775	40078	11569
776	40123	11515
777	40166	11461
778	40212	11408
779	40260	11355
780	40303	11301
781	40349	11248
782	40396	11195
783	40443	11142
784	40486	11088
785	40531	11035
786	40575	10981
787	40617	10927
788	40664	10874
789	40705	10820
790	40755	10768
791	40797	10714
792	40847	10662
793	40887	10607
794	40934	10555
795	40977	10501
796	41029	10450
797	41073	10397
798	41119	10344
799	41163	10290
800	41228	10242
801	41298	10195
802	41341	10142
803	41387	10089
804	41433	10036
805	41479	9983
806	41519	9929
807	41568	9877
808	41614	9824
809	41657	9771
810	41706	9719
811	41754	9667
812	41798	9614
813	41843	9561
814	41897	9510
815	41960	9461
816	42017	9411
817	42070	9360
818	42123	9309
819	42174	9257
820	42224	9206
821	42269	9153
822	42312	9099
823	42359	9047
824	42411	8996
825	42454	8943
826	42501	8890
827	42546	8838
828	42595	8786
829	42641	8733
830	42686	8681
831	42730	8628
832	42771	8574
833	42819	8522
834	42862	8469
835	42915	8418
836	42966	8367
837	43018	8316
838	43072	8265
839	43123	8213
840	43185	8164
841	43254	8116
842	43307	8065
843	43359	8014
844	43409	7962
845	43462	7911
846	43513	7860
847	43561	7808
848	43612	7756
849	43663	7705
850	43712	7653
851	43765	7602
852	43814	7550
853	43868	7499
854	43919	7448
855	43976	7397
856	44025	7346
857	44074	7294
858	44127	7243
859	44193	7194
860	44259	7145
861	44321	7095
862	44381	7045
863	44449	6996
864	44504	6945
865	44555	6894
866	44607	6842
867	44655	6790
868	44706	6739
869	44758	6688
870	44814	6637
871	44867	6585
872	44926	6535
873	44971	6483
874	45026	6432
875	45075	6380
876	45132	6329
877	45183	6278
878	45240	6227
879	45288	6175
880	45341	6124
881	45394	6073
882	45448	6022
883	45503	5971
884	45554	5919
885	45601	5867
886	45655	5816
887	45709	5765
888	45765	5714
889	45815	5662
890	45871	5611
891	45921	5559
892	45974	5508
893	46025	5457
894	46072	5405
895	46123	5353
896	46186	5303
897	46245	5252
898	46304	5202
899	46350	5150
900	46404	5098
901	46455	5047
902	46510	4996
903	46564	4944
904	46612	4892
905	46660	4841
906	46717	4790
907	46763	4738
908	46808	4686
909	46853	4633
910	46903	4582
911	46951	4530
912	47000	4478
913	47050	4427
914	47097	4375
915	47146	4323
916	47202	4272
917	47263	4221
918	47306	4169
919	47355	4117
920	47401	4065
921	47446	4013
922	47496	3962
923	47542	3910
924	47600	3859
925	47649	3807
926	47697	3756
927	47741	3704
928	47796	3652
929	47842	3601
930	47888	3549
931	47936	3497
932	47993	3446
933	48037	3394
934	48086	3342
935	48135	3291
936	48184	3239
937	48236	3188
938	48283	3136
939	48337	3085
940	48386	3033
941	48435	2982
942	48494	2931
943	48545	2879
944	48599	2828
945	48647	2776
946	48696	2725
947	48747	2673
948	48795	2622
949	48846	2570
950	48899	2519
951	48953	2468
952	49008	2416
953	49058	2365
954	49109	2314
955	49164	2262
956	49212	2211
957	49259	2159
958	49310	2108
959	49354	2056
960	49411	2005
961	49455	1953
962	49502	1901
963	49550	1850
964	49597	1798
965	49647	1747
966	49714	1696
967	49757	1644
968	49803	1593
969	49853	1541
970	49901	1490
971	49956	1439
972	50002	1387
973	50072	1336
974	50190	1286
975	50274	1236
976	50323	1184
977	50369	1133
978	50417	1081
979	50465	1029
980	50518	978
981	50569	926
982	50623	875
983	50686	824
984	50735	772
985	50785	721
986	50838	669
987	50885	618
988	50939	566
989	50985	515
990	51037	463
991	51087	411
992	51135	360
993	51179	308
994	51229	257
995	51274	205
996	51329	154
997	51376	102
998	51424	51
999	51473	0
