iter	Logloss
0	0.6657904419
1	0.6435144177
2	0.6227793509
3	0.6044514074
4	0.5891423092
5	0.5750625652
6	0.5641213662
7	0.5525792212
8	0.5421246955
9	0.5337181504
10	0.5255517505
11	0.5189486724
12	0.513695696
13	0.5084226264
14	0.503988248
15	0.4995414247
16	0.4953597312
17	0.4924410926
18	0.4894461284
19	0.486878499
20	0.4845652079
21	0.4821884074
22	0.480269745
23	0.478456711
24	0.4764170962
25	0.4746417707
26	0.4733536957
27	0.4717821251
28	0.4704818018
29	0.469165697
30	0.468017374
31	0.4666894936
32	0.4654671736
33	0.4644247992
34	0.4633764961
35	0.462416418
36	0.4615659307
37	0.4606930451
38	0.4599076342
39	0.4591357804
40	0.4585445762
41	0.4577678135
42	0.4571231324
43	0.456580389
44	0.4558406662
45	0.4553221324
46	0.4547287252
47	0.4539704752
48	0.4534960815
49	0.4529693544
50	0.4523824984
51	0.45187668
52	0.4514342209
53	0.4509464105
54	0.4504592472
55	0.4499263331
56	0.4493771607
57	0.4489646955
58	0.4485510273
59	0.4481166089
60	0.4475754104
61	0.4471652553
62	0.4467500469
63	0.4463134894
64	0.4458751599
65	0.4455166394
66	0.4452011674
67	0.4448252484
68	0.4444481477
69	0.444105779
70	0.4438420362
71	0.4432149244
72	0.4428820035
73	0.4424963599
74	0.4421121926
75	0.4418335219
76	0.4413924043
77	0.4411197346
78	0.4407828904
79	0.4403231136
80	0.4400327127
81	0.4398017335
82	0.4394534371
83	0.4390345446
84	0.4388187
85	0.4384843963
86	0.4381029847
87	0.4378323178
88	0.4375465721
89	0.4371567097
90	0.4367793814
91	0.4364524683
92	0.4362333145
93	0.4359466518
94	0.4356758299
95	0.4353084201
96	0.4350619793
97	0.4348817999
98	0.4346595077
99	0.4343592523
100	0.434117193
101	0.4337916303
102	0.4334646836
103	0.4332634186
104	0.4329791699
105	0.4326398088
106	0.4324333999
107	0.4322399218
108	0.4318966894
109	0.4317024783
110	0.4314134705
111	0.4310835482
112	0.4306800744
113	0.4304359809
114	0.4300382718
115	0.4297404699
116	0.4294661044
117	0.4292461887
118	0.4289900612
119	0.4287074416
120	0.4284934068
121	0.4283174565
122	0.4279931182
123	0.4277668471
124	0.427540503
125	0.4272639271
126	0.4270362095
127	0.4266611753
128	0.4263796458
129	0.426121706
130	0.4258957766
131	0.4257158046
132	0.4255277232
133	0.4252657132
134	0.4250717623
135	0.4249456144
136	0.4246556306
137	0.4244551032
138	0.4241739392
139	0.4239837966
140	0.423797339
141	0.4235364436
142	0.423328957
143	0.4230073092
144	0.4227800067
145	0.4225142229
146	0.4223172998
147	0.422124288
148	0.4217145524
149	0.421412724
150	0.4211793453
151	0.4210087036
152	0.4207063643
153	0.4204163355
154	0.4201439241
155	0.4198657212
156	0.4195685247
157	0.419196578
158	0.4189250719
159	0.4186580767
160	0.4183930956
161	0.4182256287
162	0.4179182682
163	0.4177105316
164	0.4175173722
165	0.4172441744
166	0.4170926439
167	0.4168892035
168	0.4166966482
169	0.4165101718
170	0.4161890278
171	0.4159487964
172	0.4157127632
173	0.4153048461
174	0.4151207285
175	0.4148646818
176	0.41464575
177	0.4143771291
178	0.4141618843
179	0.4139915452
180	0.4137811367
181	0.4135218548
182	0.4133136161
183	0.4130317841
184	0.4128053449
185	0.4126042753
186	0.4124314848
187	0.4121335855
188	0.4120128843
189	0.4117623288
190	0.411549488
191	0.4112860691
192	0.4110410495
193	0.4107990536
194	0.4105340239
195	0.4102870352
196	0.4099922922
197	0.4098206456
198	0.4095801925
199	0.4094220748
200	0.4092069431
201	0.4089649707
202	0.4087430526
203	0.4084839097
204	0.4082976424
205	0.4081031397
206	0.4078821477
207	0.4076090802
208	0.4073721509
209	0.4070665241
210	0.4068630486
211	0.406612375
212	0.4062962316
213	0.4060210153
214	0.4058054663
215	0.4056315079
216	0.4054138543
217	0.4052050082
218	0.4049037305
219	0.4046964723
220	0.4044875706
221	0.4043016193
222	0.4040608414
223	0.4038487962
224	0.4036325594
225	0.4034363135
226	0.4032275242
227	0.4030084533
228	0.4027867235
229	0.4026965937
230	0.4025194125
231	0.4023022276
232	0.4021487028
233	0.4019680209
234	0.4017576638
235	0.4015157728
236	0.4013139151
237	0.4011789525
238	0.4009613358
239	0.4006791618
240	0.4004703434
241	0.4001824389
242	0.4000445616
243	0.3999053815
244	0.3996666254
245	0.3994239827
246	0.3992182805
247	0.3990910122
248	0.3988758327
249	0.3986384974
250	0.398368731
251	0.3981789241
252	0.3979377992
253	0.3977927453
254	0.397600526
255	0.3973759699
256	0.3971677561
257	0.3969902603
258	0.39678321
259	0.3966048494
260	0.3964106675
261	0.3961373486
262	0.3960221873
263	0.3957721569
264	0.3956718683
265	0.3954999715
266	0.3952602488
267	0.3950890177
268	0.3948206495
269	0.3946091159
270	0.3944607621
271	0.3942870764
272	0.3941884646
273	0.3940639271
274	0.3938848035
275	0.3936998782
276	0.3934731287
277	0.3932469953
278	0.3930649764
279	0.3928417453
280	0.3926422435
281	0.3924859944
282	0.3922779429
283	0.3920992669
284	0.3918422545
285	0.3917009103
286	0.39156629
287	0.3913452227
288	0.3911993364
289	0.3910077929
290	0.3908018617
291	0.3906354271
292	0.3904615834
293	0.3903254167
294	0.3901431261
295	0.3899608038
296	0.3898216118
297	0.3896361422
298	0.3894889016
299	0.3892924013
300	0.3890718739
301	0.3888713714
302	0.3886882986
303	0.3885508791
304	0.3883617286
305	0.3882422916
306	0.3879901069
307	0.3878031031
308	0.3876338998
309	0.3875120479
310	0.3873191957
311	0.3871067213
312	0.3869480269
313	0.3866922452
314	0.3865810794
315	0.3864267206
316	0.3862345976
317	0.3859896735
318	0.3858323768
319	0.385645069
320	0.3854584816
321	0.3852811803
322	0.3850586261
323	0.3848339721
324	0.3846246127
325	0.384480086
326	0.3843110454
327	0.3842163082
328	0.3840506317
329	0.3838121984
330	0.3835596811
331	0.3834053179
332	0.3832293676
333	0.3830448072
334	0.382902688
335	0.3826755753
336	0.3825004664
337	0.3823520498
338	0.3822422815
339	0.38204668
340	0.3818983931
341	0.3817355097
342	0.3816186519
343	0.3814179823
344	0.3812101959
345	0.3809771047
346	0.3807717856
347	0.3805163526
348	0.3803707437
349	0.3801678342
350	0.3800112709
351	0.3799023676
352	0.3796997864
353	0.3795753074
354	0.3794500922
355	0.3793079277
356	0.3791438519
357	0.3790105722
358	0.3788657973
359	0.3787613055
360	0.3786110341
361	0.378474892
362	0.3782910981
363	0.3781070329
364	0.3779114938
365	0.3776767888
366	0.3775119114
367	0.377319866
368	0.3771329443
369	0.376922027
370	0.376773707
371	0.3765587368
372	0.3764477037
373	0.3762917592
374	0.3761045859
375	0.3760684822
376	0.3759185773
377	0.3757382489
378	0.3755714758
379	0.3753814731
380	0.3752207292
381	0.3749826701
382	0.3748763565
383	0.3747128939
384	0.3745827254
385	0.3743624896
386	0.3741738156
387	0.3740652153
388	0.3739211585
389	0.3738435953
390	0.3736737359
391	0.3735499029
392	0.3733881304
393	0.3732263025
394	0.3730831124
395	0.3728974381
396	0.3727077858
397	0.3725461016
398	0.3723329487
399	0.3721881405
400	0.3721047558
401	0.3719702491
402	0.3717789076
403	0.3716278751
404	0.3714983474
405	0.371335873
406	0.3711736394
407	0.3710314097
408	0.3708315516
409	0.3707423897
410	0.3705323026
411	0.370318463
412	0.3701508715
413	0.3700216998
414	0.3698918546
415	0.3697873741
416	0.3696559233
417	0.3694905818
418	0.3693200813
419	0.3692224727
420	0.3690546031
421	0.3689315825
422	0.3688003947
423	0.3686659424
424	0.3685009691
425	0.3683267491
426	0.36816788
427	0.3680390869
428	0.367922203
429	0.3677584414
430	0.3675837586
431	0.3674173119
432	0.3673293127
433	0.3672031863
434	0.3669983307
435	0.3668132595
436	0.3666274384
437	0.3665065874
438	0.3663085736
439	0.3661708567
440	0.3660900334
441	0.3658615275
442	0.3656719354
443	0.3655507134
444	0.365361354
445	0.3651997567
446	0.3651147832
447	0.364931531
448	0.3647402405
449	0.364599894
450	0.3644782336
451	0.364312604
452	0.3642039203
453	0.36404814
454	0.3638955467
455	0.3637144509
456	0.3635594439
457	0.3634474222
458	0.3633078358
459	0.3631256643
460	0.3630363669
461	0.362830039
462	0.3626722166
463	0.3625873989
464	0.3624196525
465	0.3622476611
466	0.3621498211
467	0.36200543
468	0.3618524802
469	0.3616557156
470	0.3615655736
471	0.3614495199
472	0.3613421589
473	0.3612197153
474	0.3610979409
475	0.3609768487
476	0.3608296316
477	0.3606432262
478	0.3605175103
479	0.3603945032
480	0.3602541101
481	0.3601242086
482	0.3599298631
483	0.3597632564
484	0.3596460445
485	0.3594490825
486	0.3592362577
487	0.3590965639
488	0.358975571
489	0.3588609116
490	0.3586817502
491	0.3584620375
492	0.3583322112
493	0.3582252445
494	0.3580654744
495	0.3579435016
496	0.3578237469
497	0.3576850285
